,tag,m_count,m_freq,f_count,f_freq
107,wait_VERB,1008,0.0007241233653346054,1156,0.0011700890421566077
108,either_ADV,1005,0.0007219682362711095,606,0.0006133857781547615
109,office_SUBST,1003,0.0007205314835621123,546,0.0005526545129909237
110,sometimes_ADV,998,0.0007169396017896192,731,0.0007399092472460902
111,seventy_ADJ,997,0.0007162212254351205,442,0.00044738698670693824
112,stay_VERB,986,0.0007083190855356358,1002,0.0010142121282360908
113,around_ADV,976,0.0007011353219906496,670,0.0006781657943295218
114,around_ADV,976,0.0007011353219906496,361,0.0003653997787357573
115,around_PREP,778,0.0005588968037999236,670,0.0006781657943295218
116,around_PREP,778,0.0005588968037999236,361,0.0003653997787357573
117,mind_SUBST,976,0.0007011353219906496,490,0.0004959719988380085
118,mind_VERB,909,0.0006530041062392423,490,0.0004959719988380085
119,build_VERB,972,0.0006982618165726551,405,0.00040993603985590494
120,often_ADV,972,0.0006982618165726551,434,0.0004392894846850932
121,fine_ADJ,969,0.0006961066875091594,624,0.0006316051577039128
122,police_SUBST,969,0.0006961066875091594,400,0.0004048751010922518
123,eh_INTERJ,966,0.0006939515584456635,862,0.0008725058428538027
124,game_SUBST,956,0.0006867677949006773,335,0.0003390828971647609
125,across_PREP,955,0.0006860494185461787,495,0.0005010329376016616
126,war_SUBST,951,0.0006831759131281842,339,0.0003431316481756834
127,forget_VERB,947,0.0006803024077101898,877,0.0008876886591447621
128,boy_SUBST,928,0.000666653256974716,1108,0.0011215040300255376
129,cut_VERB,928,0.000666653256974716,836,0.0008461889612828063
130,need_SUBST,923,0.000663061375202223,340,0.00034414383592841404
131,least_ADV,919,0.0006601878697842285,517,0.0005233010681617355
132,true_ADJ,918,0.0006594694934297299,492,0.0004979963743434697
133,allow_VERB,917,0.0006587511170752312,455,0.00046054542749243645
134,win_VERB,917,0.0006587511170752312,505,0.0005111548151289679
135,ha_INTERJ,916,0.0006580327407207326,1055,0.0010678580791308142
136,difference_SUBST,908,0.0006522857298847437,395,0.00039981416232859866
137,although_CONJ,906,0.0006508489771757464,341,0.00034515602368114466
138,later_ADV,905,0.0006501306008212479,567,0.0005739104557982669
139,table_SUBST,904,0.0006494122244667493,636,0.0006437514107366804
140,o'clock_ADV,901,0.0006472570954032534,759,0.0007682505043225478
141,hard_ADJ,895,0.0006429468372762617,600,0.0006073126516383777
142,head_SUBST,891,0.0006400733318582672,726,0.000734848308482437
143,somewhere_ADV,889,0.00063863657914927,615,0.0006224954679293371
144,piece_SUBST,886,0.0006364814500857741,591,0.0005982029618638021
145,type_SUBST,885,0.0006357630737312756,389,0.00039374103581221487
146,happy_ADJ,882,0.0006336079446677797,552,0.0005587276395073075
147,letter_SUBST,882,0.0006336079446677797,635,0.0006427392229839497
148,r_SUBST,882,0.0006336079446677797,378,0.00038260697053217797
149,family_SUBST,880,0.0006321711919587825,705,0.0007135923656750938
150,fire_SUBST,875,0.0006285793101862894,443,0.00044839917445966887
151,absolutely_ADV,870,0.0006249874284137963,602,0.000609337027143839
152,town_SUBST,870,0.0006249874284137963,569,0.0005759348313037282
153,training_SUBST,868,0.000623550675704799,397,0.0004018385378340599
154,mention_VERB,866,0.0006221139229958018,364,0.00036843634199394915
155,expect_VERB,865,0.0006213955466413031,580,0.0005870688965837651
156,hello_INTERJ,862,0.0006192404175778074,994,0.0010061146262142458
157,street_SUBST,853,0.0006127750303873198,442,0.00044738698670693824
158,interesting_ADJ,845,0.0006070280195513308,336,0.0003400950849174915
159,light_SUBST,845,0.0006070280195513308,535,0.0005415204477108868
160,centre_SUBST,839,0.0006027177614243392,356,0.0003603388399721041
161,foot_SUBST,838,0.0006019993850698406,701,0.0007095436146641713
162,low_ADJ,836,0.0006005626323608433,330,0.00033402195840110776
163,learn_VERB,833,0.0005984075032973475,438,0.0004433382356960157
164,someone_PRON,833,0.0005984075032973475,618,0.0006255320311875291
165,programme_SUBST,829,0.000595533997879353,349,0.0003532535257029897
166,thanks_SUBST,826,0.0005933788688158571,508,0.0005141913783871598
167,market_SUBST,825,0.0005926604924613585,385,0.0003896922848012924
