hw_pos,mcount,fcount,sim_score
cos_CONJ,6020,7654,0.8486924
community_SUBST,618,216,0.8488504
per_PREP,490,125,0.84895444
hot_ADJ,410,453,0.84983945
comment_SUBST,647,152,0.8501437
daddy_SUBST,365,640,0.8507267
point_VERB,366,98,0.8508611
friend_SUBST,719,770,0.8511536
w_SUBST,205,220,0.85116917
amount_SUBST,822,327,0.8520454
education_SUBST,616,220,0.8520556
door_SUBST,1191,1403,0.85217327
concerned_ADJ,773,226,0.852463
tea_SUBST,606,944,0.85284084
busy_ADJ,252,311,0.85435456
suggest_VERB,861,247,0.8547875
supposed_ADJ,500,607,0.85578126
difference_SUBST,908,395,0.8561908
worker_SUBST,442,186,0.85650724
phone_VERB,395,639,0.8565645
laugh_VERB,195,369,0.856624
sister_SUBST,260,401,0.8577635
weekend_SUBST,403,521,0.8578707
bag_SUBST,514,708,0.857977
tuesday_SUBST,349,417,0.8585864
south_SUBST,707,268,0.8590004
particularly_ADV,895,260,0.8592308
need_SUBST,923,340,0.8601071
information_SUBST,1099,326,0.86020917
hair_SUBST,310,670,0.8605523
fourteen_ADJ,620,260,0.8613976
million_ADJ,908,269,0.8615113
stairs_SUBST,132,210,0.8617018
oh_INTERJ,18629,26095,0.8618857
centre_SUBST,839,356,0.86240387
cope_VERB,177,203,0.8627528
box_SUBST,706,732,0.8630033
girl_SUBST,748,1390,0.86369455
affect_VERB,423,154,0.86448324
alright_ADJ,1355,1820,0.8647072
like_VERB,4653,4955,0.8650003
bother_VERB,451,570,0.865353
wait_VERB,1008,1156,0.86610866
interesting_ADJ,845,336,0.8662934
past_PREP,687,810,0.86697143
build_VERB,972,405,0.86834085
stay_VERB,986,1002,0.8683976
deal_VERB,999,272,0.87035924
of_PREP,91107,39614,0.87100023
sit_VERB,1658,1930,0.8719122
agree_VERB,1174,396,0.8726432
during_PREP,850,323,0.87266
mother_SUBST,666,970,0.8728398
mummy_SUBST,748,767,0.8743413
area_SUBST,2891,822,0.87465715
hundred_ADJ,5063,2010,0.87572044
dinner_SUBST,310,589,0.8760123
cold_ADJ,393,591,0.8769187
hello_INTERJ,862,994,0.8771623
dear_INTERJ,520,884,0.8771777
nice_ADJ,2247,3312,0.87990767
less_ADV,816,301,0.8804417
meeting_SUBST,1051,445,0.88122725
garden_SUBST,448,481,0.88131624
wednesday_SUBST,369,477,0.88188386
interested_ADJ,609,240,0.88195616
that_CONJ,39853,16945,0.8826266
shout_VERB,174,213,0.88362485
jump_VERB,267,271,0.8850783
set_VERB,1136,490,0.88576376
wash_VERB,236,434,0.885809
sunday_SUBST,554,705,0.886343
she_PRON,14947,33911,0.8868428
funny_ADJ,614,836,0.8920548
sense_SUBST,965,271,0.8923472
along_PREP,473,206,0.8927743
walk_VERB,1068,1152,0.8941772
night_SUBST,1965,2329,0.89455473
buy_VERB,2035,2547,0.8957839
lovely_ADJ,664,1429,0.89651805
kind_SUBST,1759,705,0.8974692
thursday_SUBST,349,426,0.898042
shut_VERB,428,564,0.89933336
saturday_SUBST,626,708,0.89934176
monday_SUBST,528,615,0.90034103
home_ADV,935,1382,0.90239614
till_PREP,457,617,0.9047782
friday_SUBST,629,696,0.9203366
